Key,File,Type,UsedInMainMenu,NoTranslate,english,russian
bezumecBookT15,items,Item,,,[7C7C7C]Bezumec Scroll T15[-],[7C7C7C]Свиток Безумца T15[-]
bezumecBookT15Desc,items,Item,,,[AAAAAA]Raises the permanent Madman passive up to level 15 if your current level is lower.[-]\n[FFD700]Only newly gained Madman levels grant skill points.[-],"[AAAAAA]Поднимает постоянный пассив Безумца до уровня [FFD700]15[-], если текущий уровень ниже.[-]\n[FFD700]Очки навыков выдаются только за новые уровни Безумца.[-]"
bezumecBookT30,items,Item,,,[B0C3D9]Bezumec Scroll T30[-],[B0C3D9]Свиток Безумца T30[-]
bezumecBookT30Desc,items,Item,,,[AAAAAA]Raises the permanent Madman passive up to level 30 if your current level is lower.[-]\n[FFD700]Only newly gained Madman levels grant skill points.[-],"[AAAAAA]Поднимает постоянный пассив Безумца до уровня [FFD700]30[-], если текущий уровень ниже.[-]\n[FFD700]Очки навыков выдаются только за новые уровни Безумца.[-]"
bezumecBookT45,items,Item,,,[5E98D9]Bezumec Scroll T45[-],[5E98D9]Свиток Безумца T45[-]
bezumecBookT45Desc,items,Item,,,[AAAAAA]Raises the permanent Madman passive up to level 45 if your current level is lower.[-]\n[FFD700]Only newly gained Madman levels grant skill points.[-],"[AAAAAA]Поднимает постоянный пассив Безумца до уровня [FFD700]45[-], если текущий уровень ниже.[-]\n[FFD700]Очки навыков выдаются только за новые уровни Безумца.[-]"
bezumecBookT60,items,Item,,,[4B69FF]Bezumec Scroll T60[-],[4B69FF]Свиток Безумца T60[-]
bezumecBookT60Desc,items,Item,,,[AAAAAA]Raises the permanent Madman passive up to level 60 if your current level is lower.[-]\n[FFD700]Only newly gained Madman levels grant skill points.[-],"[AAAAAA]Поднимает постоянный пассив Безумца до уровня [FFD700]60[-], если текущий уровень ниже.[-]\n[FFD700]Очки навыков выдаются только за новые уровни Безумца.[-]"
bezumecBookT75,items,Item,,,[8847FF]Bezumec Scroll T75[-],[8847FF]Свиток Безумца T75[-]
bezumecBookT75Desc,items,Item,,,[AAAAAA]Raises the permanent Madman passive up to level 75 if your current level is lower.[-]\n[FFD700]Only newly gained Madman levels grant skill points.[-],"[AAAAAA]Поднимает постоянный пассив Безумца до уровня [FFD700]75[-], если текущий уровень ниже.[-]\n[FFD700]Очки навыков выдаются только за новые уровни Безумца.[-]"
bezumecBookT90,items,Item,,,[D32CE6]Bezumec Scroll T90[-],[D32CE6]Свиток Безумца T90[-]
bezumecBookT90Desc,items,Item,,,[AAAAAA]Raises the permanent Madman passive up to level 90 if your current level is lower.[-]\n[FFD700]Only newly gained Madman levels grant skill points.[-],"[AAAAAA]Поднимает постоянный пассив Безумца до уровня [FFD700]90[-], если текущий уровень ниже.[-]\n[FFD700]Очки навыков выдаются только за новые уровни Безумца.[-]"
bezumecBookT105,items,Item,,,[EB4B4B]Bezumec Scroll T105[-],[EB4B4B]Свиток Безумца T105[-]
bezumecBookT105Desc,items,Item,,,[AAAAAA]Raises the permanent Madman passive up to level 105 if your current level is lower.[-]\n[FFD700]Only newly gained Madman levels grant skill points.[-],"[AAAAAA]Поднимает постоянный пассив Безумца до уровня [FFD700]105[-], если текущий уровень ниже.[-]\n[FFD700]Очки навыков выдаются только за новые уровни Безумца.[-]"
bezumecBookT120,items,Item,,,[FF8C00]Bezumec Scroll T120[-],[FF8C00]Свиток Безумца T120[-]
bezumecBookT120Desc,items,Item,,,[AAAAAA]Raises the permanent Madman passive up to level 120 if your current level is lower.[-]\n[FFD700]Only newly gained Madman levels grant skill points.[-],"[AAAAAA]Поднимает постоянный пассив Безумца до уровня [FFD700]120[-], если текущий уровень ниже.[-]\n[FFD700]Очки навыков выдаются только за новые уровни Безумца.[-]"
bezumecBookT135,items,Item,,,[E4AE39]Bezumec Scroll T135[-],[E4AE39]Свиток Безумца T135[-]
bezumecBookT135Desc,items,Item,,,[AAAAAA]Raises the permanent Madman passive up to level 135 if your current level is lower.[-]\n[FFD700]Only newly gained Madman levels grant skill points.[-],"[AAAAAA]Поднимает постоянный пассив Безумца до уровня [FFD700]135[-], если текущий уровень ниже.[-]\n[FFD700]Очки навыков выдаются только за новые уровни Безумца.[-]"
bezumecBookT150,items,Item,,,[FFD700]Bezumec Scroll T150[-],[FFD700]Свиток Безумца T150[-]
bezumecBookT150Desc,items,Item,,,[AAAAAA]Raises the permanent Madman passive up to level 150 if your current level is lower.[-]\n[FFD700]Only newly gained Madman levels grant skill points.[-],"[AAAAAA]Поднимает постоянный пассив Безумца до уровня [FFD700]150[-], если текущий уровень ниже.[-]\n[FFD700]Очки навыков выдаются только за новые уровни Безумца.[-]"
buffReducedDamageResistanceBossPovelitelName,buffs,Boss,,,Overlord Weakening,Ослабление Повелителя
buffReducedDamageResistanceBossWorldsName,buffs,Boss,,,World-Eater Weakening,Ослабление Пожирателя Миров
buffReducedDamageResistanceBossAbaddonName,buffs,Boss,,,Abaddon Weakening,Ослабление Абаддона
MBoosterUnlockAll,progression,perk,,,All magazine boosters,Все бустеры журналов
perkAdvEngResources,progression,perk,,,Advanced engineering resources,Ресурсы продвинутой инженерии
xuiFoodPercentage,UI,XUI,,,Current value,Текущее значение
xuiWaterPercentage,UI,XUI,,,Current value,Текущее значение
TMO_TerrStone,blocks,Terrain,,,Admin Stone Terrain (Indestructible),Админский Каменный Ландшафт (Неразрушимый)
TMO_TerrStoneDesc,blocks,Terrain,,,[00FFFF]| [00FF88]Regenerative [FFD700]Stone|[-],[00FFFF]|[00FFEF] [00FFDF]Р[00FFCE]е[00FFBE]г[00FFAE]е[00FF9E]н[00FF8E]е[00FF7D]р[00FF6D]а[00FF5D]т[0CFD51]и[24F949]в[3DF541]н[55F239]ы[6DEE31]й[86EA28] [9EE620]К[B6E218]а[CEDF10]м[E7DB08]е[FFD700]н[FFD700]ь|[-]
TMO_TerrSnow,blocks,Terrain,,,Admin Snow Terrain (Indestructible),Админский Снежный Ландшафт (Неразрушимый)
TMO_TerrSnowDesc,blocks,Terrain,,,[00FFFF]| [00FF88]Regenerative [FFD700]Snow|[-],[00FFFF]|[00FFEE] [00FFDD]Р[00FFCC]е[00FFBB]г[00FFAA]е[00FF99]н[00FF88]е[00FF77]р[00FF66]а[00FF55]т[1AFB4D]и[33F744]в[4DF33C]н[66EF33]ы[80EB2B]й[99E722] [B3E31A]С[CCDF11]н[E5DB09]е[FFD700]г|[-]
TMO_TerrSand,blocks,Terrain,,,Admin Sand Terrain (Indestructible),Админский Песчаный Ландшафт (Неразрушимый)
TMO_TerrSandDesc,blocks,Terrain,,,[00FFFF]| [00FF88]Regenerative [FFD700]Sand|[-],[00FFFF]|[00FFEE] [00FFDD]Р[00FFCC]е[00FFBB]г[00FFAA]е[00FF99]н[00FF88]е[00FF77]р[00FF66]а[00FF55]т[1AFB4D]и[33F744]в[4DF33C]н[66EF33]ы[80EB2B]й[99E722] [B3E31A]П[CCDF11]е[E5DB09]с[FFD700]о[FFD700]к|[-]
TMO_TerrDirt,blocks,Terrain,,,Admin Dirt Terrain (Indestructible),Админский Земляной Ландшафт (Неразрушимый)
TMO_TerrDirtDesc,blocks,Terrain,,,[00FFFF]| [00FF88]Regenerative [FFD700]Dirt|[-],[00FFFF]|[00FFEE] [00FFDD]Р[00FFCC]е[00FFBB]г[00FFAA]е[00FF99]н[00FF88]е[00FF77]р[00FF66]а[00FF55]т[1AFB4D]и[33F744]в[4DF33C]н[66EF33]а[80EB2B]я[99E722] [B3E31A]З[CCDF11]е[E5DB09]м[FFD700]л[FFD700]я|[-]
TMO_TerrDestroyedWood,blocks,Terrain,,,Admin Destroyed Wood Terrain (Indestructible),Админский Разрушенный Деревянный Ландшафт (Неразрушимый)
TMO_TerrDestroyedWoodDesc,blocks,Terrain,,,[00FFFF]| [00FF88]Regenerative Destroyed [FFD700]Wood Surface|[-],[00FFFF]|[00FFF2] [00FFE6]Р[00FFD9]а[00FFCD]з[00FFC0]р[00FFB3]у[00FFA7]ш[00FF9A]е[00FF8E]н[00FF81]н[00FF74]а[00FF68]я[00FF5B] [09FE52]Д[1CFB4C]е[2FF845]р[42F53F]е[55F239]в[68EF32]я[7BEC2C]н[8EE926]н[A1E61F]а[B3E319]я[C6E013] [D9DD0D]П[ECDA06]о[FFD700]в[FFD700]е[FFD700]р[FFD700]х[FFD700]н[FFD700]о[FFD700]с[FFD700]т[FFD700]ь|[-]
TMO_TerrOreIron,blocks,Terrain,,,Admin Iron Ore (Indestructible),Админская Железная Руда (Неразрушимая)
TMO_TerrOreIronDesc,blocks,Terrain,,,[00FFFF]| [00FF88]Regenerative [FFD700]Iron Ore|[-],[00FFFF]|[00FFF1] [00FFE3]Р[00FFD5]е[00FFC6]г[00FFB8]е[00FFAA]н[00FF9C]е[00FF8E]р[00FF80]а[00FF71]т[00FF63]и[00FF55]в[15FC4E]н[2BF847]а[40F540]я[55F239] [6AEE32]Ж[80EB2B]е[95E823]л[AAE41C]е[BFE115]з[D4DE0E]н[EADA07]а[FFD700]я[FFD700] [FFD700]Р[FFD700]у[FFD700]д[FFD700]а|[-]
TMO_TerrRawDiamond,blocks,Terrain,,,[00FFFF]| [00FF88]Regenerative [FFD700]Diamond Ore|[-],[00FFFF]|[00FFF1] [00FFE3]Р[00FFD5]е[00FFC6]г[00FFB8]е[00FFAA]н[00FF9C]е[00FF8E]р[00FF80]а[00FF71]т[00FF63]и[00FF55]в[15FC4E]н[2BF847]а[40F540]я[55F239] [6AEE32]А[80EB2B]л[95E823]м[AAE41C]а[BFE115]з[D4DE0E]н[EADA07]а[FFD700]я[FFD700] [FFD700]Р[FFD700]у[FFD700]д[FFD700]а|[-]
TMO_TerrOreLead,blocks,Terrain,,,Admin Lead Ore (Indestructible),Админская Свинцовая Руда (Неразрушимая)
TMO_TerrOreLeadDesc,blocks,Terrain,,,[00FFFF]| [00FF88]Regenerative [FFD700]Lead Ore|[-],[00FFFF]|[00FFF1] [00FFE3]Р[00FFD5]е[00FFC6]г[00FFB8]е[00FFAA]н[00FF9C]е[00FF8E]р[00FF80]а[00FF71]т[00FF63]и[00FF55]в[15FC4E]н[2BF847]а[40F540]я[55F239] [6AEE32]С[80EB2B]в[95E823]и[AAE41C]н[BFE115]ц[D4DE0E]о[EADA07]в[FFD700]а[FFD700]я[FFD700] [FFD700]Р[FFD700]у[FFD700]д[FFD700]а|[-]
TMO_TerrOreCoal,blocks,Terrain,,,Admin Coal Ore (Indestructible),Админская Угольная Руда (Неразрушимая)
TMO_TerrOreCoalDesc,blocks,Terrain,,,[00FFFF]| [00FF88]Regenerative [FFD700]Coal Ore|[-],[00FFFF]|[00FFF1] [00FFE3]Р[00FFD5]е[00FFC6]г[00FFB8]е[00FFAA]н[00FF9C]е[00FF8E]р[00FF80]а[00FF71]т[00FF63]и[00FF55]в[15FC4E]н[2BF847]а[40F540]я[55F239] [6AEE32]У[80EB2B]г[95E823]о[AAE41C]л[BFE115]ь[D4DE0E]н[EADA07]а[FFD700]я[FFD700] [FFD700]Р[FFD700]у[FFD700]д[FFD700]а|[-]
TMO_TerrOreNitrate,blocks,Terrain,,,Admin Nitrate Ore (Indestructible),Админская Нитратная Руда (Неразрушимая)
TMO_TerrOreNitrateDesc,blocks,Terrain,,,[00FFFF]| [00FF88]Regenerative [FFD700]Nitrate Ore|[-],[00FFFF]|[00FFF2] [00FFE6]Р[00FFD9]е[00FFCD]г[00FFC0]е[00FFB3]н[00FFA7]е[00FF9A]р[00FF8E]а[00FF81]т[00FF74]и[00FF68]в[00FF5B]н[09FE52]а[1CFB4C]я[2FF845] [42F53F]Н[55F239]и[68EF32]т[7BEC2C]р[8EE926]а[A1E61F]т[B3E319]н[C6E013]а[D9DD0D]я[ECDA06] [FFD700]Р[FFD700]у[FFD700]д[FFD700]а|[-]
TMO_TerrOreOil,blocks,Terrain,,,Admin Oil Deposit (Indestructible),Админская Нефтяная Руда (Неразрушимая)
TMO_TerrOreOilDesc,blocks,Terrain,,,[00FFFF]| [00FF88]Regenerative [FFD700]Oil Deposit|[-],[00FFFF]|[00FFF1] [00FFE4]Р[00FFD6]е[00FFC9]г[00FFBB]е[00FFAD]н[00FFA0]е[00FF92]р[00FF85]а[00FF77]т[00FF69]и[00FF5C]в[0AFD52]н[1FFA4B]а[33F744]я[47F43D] [5CF136]Н[70ED30]е[85EA29]ф[99E722]т[ADE41B]я[C2E114]н[D6DD0E]а[EBDA07]я[FFD700] [FFD700]Р[FFD700]у[FFD700]д[FFD700]а|[-]
TMO_TerrBrass,blocks,Terrain,,,Admin Brass Ore (Indestructible),Админская Латунная Руда (Неразрушимая)
TMO_TerrBrassDesc,blocks,Terrain,,,[00FFFF]| [00FF88]Regenerative [FFD700]Brass Ore|[-],[00FFFF]|[00FFF1] [00FFE4]Р[00FFD6]е[00FFC9]г[00FFBB]е[00FFAD]н[00FFA0]е[00FF92]р[00FF85]а[00FF77]т[00FF69]и[00FF5C]в[0AFD52]н[1FFA4B]а[33F744]я[47F43D] [5CF136]Л[70ED30]а[85EA29]т[99E722]у[ADE41B]н[C2E114]н[D6DD0E]а[EBDA07]я[FFD700] [FFD700]Р[FFD700]у[FFD700]д[FFD700]а|[-]
TMO_RegBoulderStone,blocks,Terrain,,,Admin Stone Boulder (Indestructible),Админский Каменный Валун (Неразрушимый)
TMO_RegBoulderStoneDesc,blocks,Terrain,,,[00FFFF]| [00FF88]Regenerative [FFD700]Stone Boulder|[-],[00FFFF]Р[00FFF2]е[00FFE6]г[00FFD9]е[00FFCD]н[00FFC0]е[00FFB3]р[00FFA7]а[00FF9A]т[00FF8E]и[00FF81]в[00FF74]н[00FF68]ы[00FF5B]й[09FE52] [1CFB4C]К[2FF845]а[42F53F]м[55F239]е[68EF32]н[7BEC2C]н[8EE926]ы[A1E61F]й[B3E319] [C6E013]В[D9DD0D]а[ECDA06]л[FFD700]у[FFD700]н|[-]
TMO_RegBoulderIron,blocks,Terrain,,,Admin Iron Boulder (Indestructible),Админский Железный Валун (Неразрушимый)
TMO_RegBoulderIronDesc,blocks,Terrain,,,[00FFFF]| [00FF88]Regenerative [FFD700]Iron Boulder|[-],|[00FFFF]Р[00FFF2]е[00FFE6]г[00FFD9]е[00FFCD]н[00FFC0]е[00FFB3]р[00FFA7]а[00FF9A]т[00FF8E]и[00FF81]в[00FF74]н[00FF68]ы[00FF5B]й[09FE52] [1CFB4C]Ж[2FF845]е[42F53F]л[55F239]е[68EF32]з[7BEC2C]н[8EE926]ы[A1E61F]й[B3E319] [C6E013]В[D9DD0D]а[ECDA06]л[FFD700]у[FFD700]н|[-]
TMO_RegBoulderLead,blocks,Terrain,,,Admin Lead Boulder (Indestructible),Админский Свинцовый Валун (Неразрушимый)
TMO_RegBoulderLeadDesc,blocks,Terrain,,,[00FFFF]| [00FF88]Regenerative [FFD700]Lead Boulder|[-],|[00FFFF]Р[00FFF2]е[00FFE6]г[00FFD9]е[00FFCD]н[00FFC0]е[00FFB3]р[00FFA7]а[00FF9A]т[00FF8E]и[00FF81]в[00FF74]н[00FF68]ы[00FF5B]й[09FE52] [1CFB4C]С[2FF845]в[42F53F]и[55F239]н[68EF32]ц[7BEC2C]о[8EE926]в[A1E61F]ы[B3E319]й[C6E013] [D9DD0D]В[ECDA06]а[FFD700]л[FFD700]у[FFD700]н|[-]
TMO_RegBoulderCoal,blocks,Terrain,,,Admin Coal Boulder (Indestructible),Админский Угольный Валун (Неразрушимый)
TMO_RegBoulderCoalDesc,blocks,Terrain,,,[00FFFF]| [00FF88]Regenerative [FFD700]Coal Boulder|[-],|[00FFFF]Р[00FFF2]е[00FFE6]г[00FFD9]е[00FFCD]н[00FFC0]е[00FFB3]р[00FFA7]а[00FF9A]т[00FF8E]и[00FF81]в[00FF74]н[00FF68]ы[00FF5B]й[09FE52] [1CFB4C]У[2FF845]г[42F53F]о[55F239]л[68EF32]ь[7BEC2C]н[8EE926]ы[A1E61F]й[B3E319] [C6E013]В[D9DD0D]а[ECDA06]л[FFD700]у[FFD700]н|[-]
TMO_RegBoulderNitrate,blocks,Terrain,,,Admin Nitrate Boulder (Indestructible),Админский Нитратный Валун (Неразрушимый)
TMO_RegBoulderNitrateDesc,blocks,Terrain,,,[00FFFF]| [00FF88]Regenerative [FFD700]Nitrate Boulder|[-],|[00FFFF]Р[00FFF2]е[00FFE6]г[00FFD9]е[00FFCD]н[00FFC0]е[00FFB3]р[00FFA7]а[00FF9A]т[00FF8E]и[00FF81]в[00FF74]н[00FF68]ы[00FF5B]й[09FE52] [1CFB4C]Н[2FF845]и[42F53F]т[55F239]р[68EF32]а[7BEC2C]т[8EE926]н[A1E61F]ы[B3E319]й[C6E013] [D9DD0D]В[ECDA06]а[FFD700]л[FFD700]у[FFD700]н|[-]
TMO_RegBoulderOilShale,blocks,Terrain,,,Admin Oil Shale Boulder (Indestructible),Админский Нефтяной Валун (Неразрушимый)
TMO_RegBoulderOilShaleDesc,blocks,Terrain,,,[00FFFF]| [00FF88]Regenerative [FFD700]Oil Shale Boulder|[-],|[00FFFF]Р[00FFF2]е[00FFE6]г[00FFD9]е[00FFCD]н[00FFC0]е[00FFB3]р[00FFA7]а[00FF9A]т[00FF8E]и[00FF81]в[00FF74]н[00FF68]ы[00FF5B]й[09FE52] [1CFB4C]Н[2FF845]е[42F53F]ф[55F239]т[68EF32]я[7BEC2C]н[8EE926]о[A1E61F]й[B3E319] [C6E013]В[D9DD0D]а[ECDA06]л[FFD700]у[FFD700]н|[-]
TMO_IndestructibleBlockRemovalTool,items,Tools,,,Indestructible Block Removal Tool,Инструмент Удаления Неразрушимых Блоков
TMO_IndestructibleBlockRemovalToolDesc,items,Tools,,,[AAAAAA]An admin-only tool that instantly replaces indestructible blocks with destructible ones so they can be broken.\nBest used together with the Admin Copy Block (1 HP).[-],"[AAAAAA]Инструмент только для админов, который мгновенно заменяет неразрушимые блоки на разрушаемые, чтобы их можно было сломать.\nЛучше всего использовать вместе с Админским Копирующим Блоком (1 ОЗ).[-]"
TMO_AdminCopyBlock,blocks,Terrain,,,Admin Copy Block (1 HP),Админский Копирующий Блок (1 ОЗ)
TMO_AdminCopyBlockDesc,blocks,Terrain,,,"[AAAAAA]A lightweight admin copy block with 1 HP, used to replace or convert indestructible terrain blocks.[-]","[AAAAAA]Лёгкий админский копирующий блок с 1 ОЗ, используемый для замены или преобразования неразрушимых блоков ландшафта.[-]"
TMO_AdminCar,blocks,Terrain,,,Admin Car (Indestructible),Админская Машина (Неразрушимая)
TMO_AdminCarDesc,blocks,Terrain,,,[00FFFF]| [00FF88]Regenerative [FFD700]Car|[-]\n\n[AAAAAA]Admin car that regenerates after being destroyed.[-]\n[00FF88]Resources:[-] Same as a regular car,"[00FFFF]|[00FFEF] [00FFDF]Р[00FFCE]е[00FFBE]г[00FFAE]е[00FF9E]н[00FF8E]е[00FF7D]р[00FF6D]а[00FF5D]т[0CFD51]и[24F949]в[3DF541]н[55F239]а[6DEE31]я[86EA28] [9EE620]М[B6E218]а[CEDF10]ш[E7DB08]и[FFD700]н[FFD700]а|[-]\n\n[AAAAAA]Админская машина, которая восстанавливается после разрушения.[-]\n[00FF88]Ресурсы:[-] Как у обычного автомобиля"
TMO_AdminCarFake,blocks,Terrain,,,Fake Car (Indestructible),Фейковая Машина (Неразрушимая)
TMO_AdminCarFakeDesc,blocks,Terrain,,,[FF8080]| [FF4040]Fake [FF8080]Car|[-]\n\n[AAAAAA]Decorative car with no resources. Regenerates after being destroyed.[-]\n[FF4444]Resources:[-] None,[FF8080]|[FF7070] [FF6060]Ф[FF5050]е[FF4040]й[FF3030]к[FF2020]о[FF1010]в[FF0000]а[FF1010]я[FF2020] [FF3030]М[FF4040]а[FF5050]ш[FF6060]и[FF7070]н[FF8080]а|[-]\n\n[AAAAAA]Декоративная машина без ресурсов. Восстанавливается после разрушения.[-]\n[FF4444]Ресурсы:[-] Нет
CoiDesc,items,description,,,[AAAAAA]A 3-meter coil of barbed wire.[-]\n\n[5AFF75]⚡ Durability:[-] 1500 uses\n[5AFF75]⚡ Damage:[-] 20,[AAAAAA]Моток колючей проволоки длиной 3 метра.[-]\n\n[5AFF75]⚡ Прочность:[-] 1500 использований\n[5AFF75]⚡ Урон:[-] 20
ShoDesc,items,description,,,[AAAAAA]A 1-meter coil of barbed wire.[-]\n\n[5AFF75]⚡ Durability:[-] 750 uses\n[5AFF75]⚡ Damage:[-] 10,[AAAAAA]Моток колючей проволоки длиной 1 метр.[-]\n\n[5AFF75]⚡ Прочность:[-] 750 использований\n[5AFF75]⚡ Урон:[-] 10
WirDesc,items,description,,,[AAAAAA]Another 1-meter coil of barbed wire.[-]\n\n[5AFF75]⚡ Durability:[-] 750 uses\n[5AFF75]⚡ Damage:[-] 10,[AAAAAA]Ещё один моток колючей проволоки длиной 1 метр.[-]\n\n[5AFF75]⚡ Прочность:[-] 750 использований\n[5AFF75]⚡ Урон:[-] 10
RusDesc,items,description,,,[AAAAAA]A 3-meter coil of barbed wire.[-]\n\n[5AFF75]⚡ Durability:[-] 1200 uses\n[5AFF75]⚡ Damage:[-] 15,[AAAAAA]Моток колючей проволоки длиной 3 метра.[-]\n\n[5AFF75]⚡ Прочность:[-] 1200 использований\n[5AFF75]⚡ Урон:[-] 15
GusDesc,items,description,,,[AAAAAA]Barrel[-],[AAAAAA]Бочка[-]
barbedCoiledRazorWire,blocks,block,,,Coiled Razor Wire,Спиральная колючая проволока
barbedShortCoiledWire,blocks,block,,,Short Coiled Wire,Короткая спиральная проволока
barbedBarbedWireSpindle,blocks,block,,,Barbed Wire Spindle,Шпиндель колючей проволоки
barbedRustyBarbedWire,blocks,block,,,Rusty Barbed Wire,Ржавая колючая проволока
craftableLightsVariantHelper,blocks,block,,,Light Source Variants,Варианты светового источника
craftableLightsHoodRangeWhite,blocks,block,,,White Range Hood Light,Белая Подвесная вытяжка с лампой
craftableLightsHoodRangeYellow,blocks,block,,,Yellow Range Hood Light,Жёлтая Подвесная вытяжка с лампой
craftableLightsHoodRangeGreen,blocks,block,,,Green Range Hood Light,Зелёная Подвесная вытяжка с лампой
craftableLightsHoodRangeGrey,blocks,block,,,Grey Range Hood Light,Серая Подвесная вытяжка с лампой
craftableLightsHoodRangeBlack,blocks,block,,,Black Range Hood Light,Чёрная Подвесная вытяжка с лампой
craftableLightsPorchWhite,blocks,block,,,White Porch Light,Белый фонарь для крыльца
craftableLightsPorchBrown,blocks,block,,,Brown Porch Light,Коричневый фонарь для крыльца
craftableLightsPorchYellow,blocks,block,,,Yellow Porch Light,Жёлтый фонарь для крыльца
craftableLightsPorchGreen,blocks,block,,,Green Porch Light,Зелёный фонарь для крыльца
craftableLightsPorchGrey,blocks,block,,,Grey Porch Light,Серый фонарь для крыльца
craftableLightsPorchBlack,blocks,block,,,Black Porch Light,Чёрный фонарь для крыльца
craftableLightsWallGooseneckWhite,blocks,block,,,White Wall Gooseneck Light,Белый настенный крытый фонарь
craftableLightsWallGooseneckBrown,blocks,block,,,Brown Wall Gooseneck Light,Коричневый настенный крытый фонарь
craftableLightsWallGooseneckRed,blocks,block,,,Red Wall Gooseneck Light,Красный настенный крытый фонарь
craftableLightsWallGooseneckOrange,blocks,block,,,Orange Wall Gooseneck Light,Оранжевый настенный крытый фонарь
